0,1,2,3,4,5,6,7
P.N. 129,"Scrap metal/
sheet",99.1 ± 0.2,n.d,0.05 ± 0.01,0.05 ± 0.01,0.7 ± 0.1,0.1 ± 0.02
P.N. 130,"Scrap metal/
sheet",96.3 ± 0.3,3.4 ± 0.2,n.d,n.d,0.3 ± 0.05,n.d
P.N. 131,"Scrap metal/
sheet",95.4 ± 0.3,4.4 ± 0.2,n.d,n.d,0.15 ± 0.02,n.d
P.N. 132,Spatula,88.9 ± 0.5,10.7 ± 0.4,n.d,0.05 ± 0.01,0.2 ± 0.04,0.1 ± 0.02
